#Gamma_over_J = 1.0026676119106899
#Stedy-State_magnetization =  0.999333333333333
cumulative_ann_time , magnetization
0.5,0
25.5,0.9999242424242425
50.5,0.9998882575757577
100.5,0.9998977272727274

#Gamma_over_J = 0.7998240335133147
#Stedy-State_magnetization =  0.999333333333333
cumulative_ann_time , magnetization
0.5,0
25.5,0.9801685606060607
50.5,0.9836988636363635

#Gamma_over_J = 0.697291650594909
#Stedy-State_magnetization =  0.999333333333333
cumulative_ann_time , magnetization
0.5,0
25.5,0.9800568181818182
50.5,0.9837007575757576
100.5,0.9861420454545454

#Gamma_over_J = 0.6028726442533285
#Stedy-State_magnetization =  0.999333333333333
cumulative_ann_time , magnetization
0.5,0
25.5,0.9623276515151516
50.5,0.9793068181818182
100.5,0.9882840909090909
250.5,0.9920871212121213
500.5,0.9932897727272728
1000.5,0.9935359848484849
2000.5,0.9944583333333332
3000.5,0.9944053030303031
4000.5,0.9947329545454545

#Gamma_over_J = 0.5029579700065289
#Stedy-State_magnetization =  0.9990530303030303
cumulative_ann_time , magnetization
0.5,0
25.5,0.9538390151515153
50.5,0.9650700757575759
100.5,0.9705833333333334
250.5,0.9855151515151516
500.5,0.9894015151515151
1000.5,0.9892708333333334
2000.5,0.9892159090909091
3000.5,0.9892310606060606
4000.5,0.9892272727272728

#Gamma_over_J = 0.4077962654693932
#Stedy-State_magnetization =  0.9991060606060606
cumulative_ann_time , magnetization
0.5,0
25.5,0.8800549242424244
50.5,0.9387537878787878
100.5,0.9491231060606061
250.5,0.9619564393939393
500.5,0.9709772727272727
1000.5,0.9735094696969696
2000.5,0.97775
3000.5,0.9791458333333334
4000.5,0.9790606060606061

#Gamma_over_J = 0.29069511933719033
#Stedy-State_magnetization =  0.9978181818181817
cumulative_ann_time , magnetization
0.5,0
25.5,0.5709053030303031
50.5,0.7636969696969698
100.5,0.8926439393939394
250.5,0.9443200757575757
500.5,0.9621420454545455
1000.5,0.974621212121212
2000.5,0.9805719696969697
3000.5,0.9834204545454546
4000.5,0.9833996212121212

#Gamma_over_J = 0.20055093274677846
#Stedy-State_magnetization =  0.9916969696969696
cumulative_ann_time , magnetization
0.5,0
25.5,0.2568371212121212
50.5,0.41019886363636365
100.5,0.5641590909090909
250.5,0.762717803030303
500.5,0.8803125
1000.5,0.9410094696969697
2000.5,0.9623920454545456
3000.5,0.9700549242424242b
4000.5,0.980185606060606

#Gamma_over_J = 0.15077220117538936
#Stedy-State_magnetization =  0.9847575757575758
cumulative_ann_time , magnetization
0.5,0
25.5,0.07362310606060607
50.5,0.1587556818181818
100.5,0.2763939393939394
250.5,0.4863674242424243
500.5,0.6495928030303031
1000.5,0.7970113636363638
2000.5,0.9028598484848485
3000.5,0.9439223484848485
4000.5,0.9576344696969695

#Gamma_over_J = 0.10498906823752119
#Stedy-State_magnetization =  0.985189393939394
cumulative_ann_time , magnetization
0.5,0
25.5,0.019009469696969695
50.5,0.0359905303030303
100.5,0.05744318181818182
250.5,0.11670833333333334
500.5,0.20731818181818182
1000.5,0.3705189393939395
2000.5,0.5441647727272728
3000.5,0.6735321969696969
4000.5,0.7569867424242425dsf
